date de saisie;Activitées;description; Montant Brut ;Type;Années
08/09/2021;Professional fees;Charge - Professional fees - fournisseur 837;123 571;Dépenses;2021
04/12/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 218;1 293 253;Dépenses;2021
27/12/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 352;606 122;Dépenses;2021
12/11/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 480;1 886 132;Dépenses;2021
12/08/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 880;1 014 928;Dépenses;2021
08/09/2021;Depreciation;Charge - Depreciation - fournisseur 529;704 274;Dépenses;2021
24/05/2021;Rent;Charge - Rent - fournisseur 284;335 120;Dépenses;2021
14/02/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 552;77 114;Dépenses;2021
27/03/2021;Professional fees;Charge - Professional fees - fournisseur 222;70 672;Dépenses;2021
24/09/2021;Rent;Charge - Rent - fournisseur 433;365 652;Dépenses;2021
21/06/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 904;230 353;Dépenses;2021
08/07/2021;Other Operating Income;Vente - Other Operating Income - client 1797;321 150;Revenu;2021
10/03/2021;Maintenance;Charge - Maintenance - fournisseur 676;95 150;Dépenses;2021
20/04/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 292;56 398;Dépenses;2021
07/08/2021;Retail Sales;Vente - Retail Sales - client 1256;5 361 315;Revenu;2021
09/08/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 260;130 835;Dépenses;2021
21/02/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 429;390 637;Dépenses;2021
03/09/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 988;307 548;Dépenses;2021
18/05/2021;Rent;Charge - Rent - fournisseur 384;261 689;Dépenses;2021
22/11/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 326;2 077 715;Dépenses;2021
28/06/2021;Other Operating Income;Vente - Other Operating Income - client 7293;234 585;Revenu;2021
14/12/2021;Other Operating Income;Vente - Other Operating Income - client 2699;448 432;Revenu;2021
21/02/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 285;902 384;Dépenses;2021
18/09/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 855;223 727;Dépenses;2021
01/04/2021;Other Operating Income;Vente - Other Operating Income - client 6304;441 954;Revenu;2021
05/01/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 471;444 220;Dépenses;2021
22/01/2021;Retail Sales;Vente - Retail Sales - client 2679;2 638 243;Revenu;2021
05/04/2021;Retail Sales;Vente - Retail Sales - client 2233;3 434 570;Revenu;2021
04/12/2021;Wholesale Sales;Vente - Wholesale Sales - client 5631;1 880 628;Revenu;2021
28/09/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 971;9 185 550;Dépenses;2021
28/11/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 585;566 451;Dépenses;2021
12/05/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 661;600 030;Dépenses;2021
09/02/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 660;2 283 100;Dépenses;2021
13/01/2021;Export Sales;Vente - Export Sales - client 2040;436 559;Revenu;2021
08/07/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 597;812 324;Dépenses;2021
18/01/2021;Wholesale Sales;Vente - Wholesale Sales - client 3803;1 796 273;Revenu;2021
26/08/2021;Wholesale Sales;Vente - Wholesale Sales - client 5839;2 925 683;Revenu;2021
05/02/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 282;1 776 209;Dépenses;2021
05/07/2021;Other Operating Income;Vente - Other Operating Income - client 9664;346 744;Revenu;2021
17/06/2021;Other Operating Income;Vente - Other Operating Income - client 7070;228 492;Revenu;2021
10/08/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 920;117 631;Dépenses;2021
13/11/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 838;689 614;Dépenses;2021
11/03/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 244;274 690;Dépenses;2021
19/10/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 918;297 314;Dépenses;2021
16/03/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 379;875 169;Dépenses;2021
16/12/2021;Other Operating Income;Vente - Other Operating Income - client 3140;459 818;Revenu;2021
04/11/2021;Maintenance;Charge - Maintenance - fournisseur 332;103 602;Dépenses;2021
23/01/2021;Wholesale Sales;Vente - Wholesale Sales - client 5374;2 267 988;Revenu;2021
27/12/2021;Wholesale Sales;Vente - Wholesale Sales - client 5308;2 816 684;Revenu;2021
04/10/2021;Professional fees;Charge - Professional fees - fournisseur 467;157 327;Dépenses;2021
22/05/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 527;74 217;Dépenses;2021
06/05/2021;Export Sales;Vente - Export Sales - client 6060;664 004;Revenu;2021
02/01/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 300;469 371;Dépenses;2021
23/02/2021;Export Sales;Vente - Export Sales - client 4185;594 376;Revenu;2021
09/01/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 443;2 093 015;Dépenses;2021
06/10/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 233;291 087;Dépenses;2021
11/06/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 745;599 938;Dépenses;2021
28/03/2021;Rent;Charge - Rent - fournisseur 890;198 666;Dépenses;2021
20/12/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 460;705 385;Dépenses;2021
09/07/2021;Retail Sales;Vente - Retail Sales - client 1187;2 616 884;Revenu;2021
15/06/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 219;381 154;Dépenses;2021
14/10/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 203;167 518;Dépenses;2021
26/06/2021;Retail Sales;Vente - Retail Sales - client 8657;4 988 742;Revenu;2021
03/04/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 810;230 570;Dépenses;2021
03/01/2021;Retail Sales;Vente - Retail Sales - client 2674;2 023 592;Revenu;2021
02/02/2021;Retail Sales;Vente - Retail Sales - client 5349;3 957 441;Revenu;2021
03/04/2021;Export Sales;Vente - Export Sales - client 8450;1 011 524;Revenu;2021
08/03/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 560;66 667;Dépenses;2021
05/01/2021;Export Sales;Vente - Export Sales - client 4593;436 636;Revenu;2021
07/11/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 968;107 016;Dépenses;2021
05/10/2021;Other Operating Income;Vente - Other Operating Income - client 4641;1 021 462;Revenu;2021
16/08/2021;Rent;Charge - Rent - fournisseur 654;109 611;Dépenses;2021
01/07/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 349;793 916;Dépenses;2021
24/04/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 316;2 894 153;Dépenses;2021
13/05/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 727;444 481;Dépenses;2021
25/03/2021;Professional fees;Charge - Professional fees - fournisseur 902;98 078;Dépenses;2021
20/06/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 379;212 526;Dépenses;2021
27/12/2021;Wholesale Sales;Vente - Wholesale Sales - client 2809;2 434 302;Revenu;2021
21/12/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 211;803 756;Dépenses;2021
21/08/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 808;844 106;Dépenses;2021
02/07/2021;Professional fees;Charge - Professional fees - fournisseur 687;78 735;Dépenses;2021
27/07/2021;Other Operating Income;Vente - Other Operating Income - client 7214;402 258;Revenu;2021
08/11/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 219;168 951;Dépenses;2021
18/03/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 473;253 481;Dépenses;2021
04/08/2021;Wholesale Sales;Vente - Wholesale Sales - client 1879;3 029 911;Revenu;2021
25/06/2021;Retail Sales;Vente - Retail Sales - client 7730;4 946 310;Revenu;2021
20/03/2021;Rent;Charge - Rent - fournisseur 546;147 264;Dépenses;2021
20/03/2021;Depreciation;Charge - Depreciation - fournisseur 591;181 507;Dépenses;2021
27/06/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 604;497 552;Dépenses;2021
08/10/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 811;1 046 770;Dépenses;2021
13/11/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 814;951 606;Dépenses;2021
03/08/2021;Retail Sales;Vente - Retail Sales - client 7525;4 276 603;Revenu;2021
24/11/2021;Other Operating Income;Vente - Other Operating Income - client 1807;578 212;Revenu;2021
26/07/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 392;767 642;Dépenses;2021
27/09/2021;Other Operating Income;Vente - Other Operating Income - client 6629;811 595;Revenu;2021
12/09/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 212;1 286 596;Dépenses;2021
26/12/2021;Other Operating Income;Vente - Other Operating Income - client 8835;405 376;Revenu;2021
04/06/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 494;426 748;Dépenses;2021
15/07/2021;Retail Sales;Vente - Retail Sales - client 2936;3 317 573;Revenu;2021
06/12/2021;Other Operating Income;Vente - Other Operating Income - client 8178;354 325;Revenu;2021
26/08/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 666;354 828;Dépenses;2021
02/05/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 336;506 431;Dépenses;2021
03/10/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 963;361 709;Dépenses;2021
21/03/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 842;57 036;Dépenses;2021
09/03/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 612;3 881 979;Dépenses;2021
15/05/2021;Depreciation;Charge - Depreciation - fournisseur 513;310 877;Dépenses;2021
27/12/2021;Wholesale Sales;Vente - Wholesale Sales - client 7862;2 437 542;Revenu;2021
08/06/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 791;282 120;Dépenses;2021
12/07/2021;Export Sales;Vente - Export Sales - client 7887;620 309;Revenu;2021
03/08/2021;Export Sales;Vente - Export Sales - client 1430;703 318;Revenu;2021
25/01/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 295;355 105;Dépenses;2021
20/02/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 330;447 249;Dépenses;2021
27/05/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 313;403 283;Dépenses;2021
10/12/2021;Export Sales;Vente - Export Sales - client 8483;1 673 735;Revenu;2021
27/11/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 582;5 961 337;Dépenses;2021
10/06/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 776;184 208;Dépenses;2021
09/11/2021;Depreciation;Charge - Depreciation - fournisseur 662;1 222 726;Dépenses;2021
27/11/2021;Other Operating Income;Vente - Other Operating Income - client 6535;385 898;Revenu;2021
23/01/2021;Retail Sales;Vente - Retail Sales - client 4257;2 640 821;Revenu;2021
26/01/2021;Retail Sales;Vente - Retail Sales - client 5333;2 103 780;Revenu;2021
09/09/2021;Export Sales;Vente - Export Sales - client 6905;1 838 350;Revenu;2021
02/06/2021;Depreciation;Charge - Depreciation - fournisseur 448;145 328;Dépenses;2021
24/01/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 262;348 340;Dépenses;2021
19/10/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 345;880 409;Dépenses;2021
23/12/2021;Rent;Charge - Rent - fournisseur 839;172 165;Dépenses;2021
05/08/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 455;106 344;Dépenses;2021
23/11/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 797;617 074;Dépenses;2021
02/06/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 561;4 494 716;Dépenses;2021
18/05/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 719;364 548;Dépenses;2021
11/12/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 665;1 204 849;Dépenses;2021
02/05/2021;Maintenance;Charge - Maintenance - fournisseur 780;108 347;Dépenses;2021
24/09/2021;Retail Sales;Vente - Retail Sales - client 2526;2 771 457;Revenu;2021
02/07/2021;Wholesale Sales;Vente - Wholesale Sales - client 2838;1 606 931;Revenu;2021
19/08/2021;Depreciation;Charge - Depreciation - fournisseur 668;327 861;Dépenses;2021
11/04/2021;Rent;Charge - Rent - fournisseur 496;152 016;Dépenses;2021
06/03/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 926;270 440;Dépenses;2021
16/02/2021;Professional fees;Charge - Professional fees - fournisseur 616;59 379;Dépenses;2021
02/12/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 484;1 404 310;Dépenses;2021
09/11/2021;Other Operating Income;Vente - Other Operating Income - client 6257;484 956;Revenu;2021
21/06/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 897;509 419;Dépenses;2021
27/08/2021;Rent;Charge - Rent - fournisseur 522;168 077;Dépenses;2021
13/10/2021;Export Sales;Vente - Export Sales - client 1509;885 979;Revenu;2021
03/04/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 231;684 522;Dépenses;2021
06/02/2021;Maintenance;Charge - Maintenance - fournisseur 645;101 347;Dépenses;2021
12/09/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 630;340 843;Dépenses;2021
17/12/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 760;645 460;Dépenses;2021
18/11/2021;Wholesale Sales;Vente - Wholesale Sales - client 4727;3 531 907;Revenu;2021
16/01/2021;Other Operating Income;Description manquante;239 110;Revenu;2021
12/04/2021;Depreciation;Charge - Depreciation - fournisseur 906;238 076;Dépenses;2021
28/11/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 381;2 112 861;Dépenses;2021
23/09/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 212;857 620;Dépenses;2021
06/04/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 549;511 607;Dépenses;2021
18/02/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 629;1 750 342;Dépenses;2021
07/10/2021;Rent;Charge - Rent - fournisseur 471;460 951;Dépenses;2021
15/08/2021;Maintenance;Charge - Maintenance - fournisseur 289;103 037;Dépenses;2021
08/05/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 248;555 911;Dépenses;2021
11/06/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 807;219 540;Dépenses;2021
27/01/2021;Professional fees;Charge - Professional fees - fournisseur 404;130 850;Dépenses;2021
18/03/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 978;691 163;Dépenses;2021
11/07/2021;Retail Sales;Vente - Retail Sales - client 8822;3 049 403;Revenu;2021
22/07/2021;Depreciation;Charge - Depreciation - fournisseur 694;238 206;Dépenses;2021
16/03/2021;Rent;Charge - Rent - fournisseur 977;142 826;Dépenses;2021
23/05/2021;Rent;Charge - Rent - fournisseur 708;217 483;Dépenses;2021
22/02/2021;Export Sales;Vente - Export Sales - client 3780;558 291;Revenu;2021
15/06/2021;Other Operating Income;Vente - Other Operating Income - client 5382;203 434;Revenu;2021
10/03/2021;Depreciation;Charge - Depreciation - fournisseur 910;158 667;Dépenses;2021
02/05/2021;Other Operating Income;Vente - Other Operating Income - client 8170;457 887;Revenu;2021
28/08/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 223;1 154 638;Dépenses;2021
08/07/2021;Other Operating Income;Vente - Other Operating Income - client 1256;359 632;Revenu;2021
01/01/2021;Maintenance;Charge - Maintenance - fournisseur 622;110 479;Dépenses;2021
07/07/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 690;688 956;Dépenses;2021
19/09/2021;Other Operating Income;Vente - Other Operating Income - client 3174;769 151;Revenu;2021
03/02/2021;Wholesale Sales;Vente - Wholesale Sales - client 8066;2 092 627;Revenu;2021
13/05/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 996;3 053 927;Dépenses;2021
12/06/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 691;260 477;Dépenses;2021
16/07/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 780;127 991;Dépenses;2021
27/02/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 411;1 333 813;Dépenses;2021
02/05/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 340;496 839;Dépenses;2021
18/11/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 583;670 396;Dépenses;2021
03/05/2021;Wholesale Sales;Vente - Wholesale Sales - client 9624;2 234 354;Revenu;2021
06/08/2021;Rent;Charge - Rent - fournisseur 860;191 199;Dépenses;2021
11/04/2021;Depreciation;Charge - Depreciation - fournisseur 221;205 778;Dépenses;2021
04/11/2021;Wholesale Sales;Vente - Wholesale Sales - client 3415;2 921 972;Revenu;2021
17/01/2021;Rent;Charge - Rent - fournisseur 869;-141 613;Dépenses;2021
26/01/2021;Retail Sales;Vente - Retail Sales - client 5557;2 639 837;Revenu;2021
12/08/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 316;230 607;Dépenses;2021
19/09/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 326;525 863;Dépenses;2021
21/03/2021;Maintenance;Charge - Maintenance - fournisseur 672;137 542;Dépenses;2021
15/03/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 316;496 732;Dépenses;2021
28/11/2021;Other Operating Income;Vente - Other Operating Income - client 2609;388 504;Revenu;2021
12/10/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 930;1 360 516;Dépenses;2021
11/06/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 954;165 476;Dépenses;2021
04/09/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 595;1 339 608;Dépenses;2021
28/12/2021;Maintenance;Charge - Maintenance - fournisseur 830;150 726;Dépenses;2021
26/07/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 300;800 186;Dépenses;2021
05/05/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 725;578 535;Dépenses;2021
10/07/2021;Other Operating Income;Vente - Other Operating Income - client 1372;334 305;Revenu;2021
28/11/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 366;1 617 148;Dépenses;2021
25/01/2021;Rent;Charge - Rent - fournisseur 541;111 580;Dépenses;2021
21/06/2021;Export Sales;Vente - Export Sales - client 3050;833 388;Revenu;2021
10/06/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 989;296 999;Dépenses;2021
09/02/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 664;66 339;Dépenses;2021
16/12/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 799;607 874;Dépenses;2021
05/09/2021;Professional fees;Charge - Professional fees - fournisseur 451;-86 581;Dépenses;2021
14/08/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 908;701 932;Dépenses;2021
27/04/2021;Wholesale Sales;Vente - Wholesale Sales - client 2622;1 498 415;Revenu;2021
09/11/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 502;613 520;Dépenses;2021
17/05/2021;Retail Sales;Vente - Retail Sales - client 8792;3 929 308;Revenu;2021
03/07/2021;Depreciation;Charge - Depreciation - fournisseur 436;216 168;Dépenses;2021
21/01/2021;Wholesale Sales;Vente - Wholesale Sales - client 8428;1 465 368;Revenu;2021
13/04/2021;Export Sales;Vente - Export Sales - client 1992;624 046;Revenu;2021
23/03/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 393;229 024;Dépenses;2021
14/02/2021;Depreciation;Charge - Depreciation - fournisseur 308;608 298;Dépenses;2021
06/11/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 981;436 990;Dépenses;2021
01/09/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 543;287 258;Dépenses;2021
10/05/2021;Wholesale Sales;Vente - Wholesale Sales - client 2388;2 095 924;Revenu;2021
24/01/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 612;219 942;Dépenses;2021
21/05/2021;Depreciation;Charge - Depreciation - fournisseur 887;291 462;Dépenses;2021
21/05/2021;Professional fees;Charge - Professional fees - fournisseur 521;63 890;Dépenses;2021
19/08/2021;Depreciation;Charge - Depreciation - fournisseur 315;495 801;Dépenses;2021
22/11/2021;Professional fees;Charge - Professional fees - fournisseur 644;290 173;Dépenses;2021
02/07/2021;Export Sales;Vente - Export Sales - client 8734;502 651;Revenu;2021
21/09/2021;Export Sales;Vente - Export Sales - client 8032;1 612 873;Revenu;2021
06/03/2021;Other Operating Income;Vente - Other Operating Income - client 4929;446 081;Revenu;2021
11/07/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 765;527 824;Dépenses;2021
28/05/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 507;96 954;Dépenses;2021
08/09/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 343;647 205;Dépenses;2021
12/03/2021;Depreciation;Charge - Depreciation - fournisseur 500;194 821;Dépenses;2021
18/08/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 731;576 963;Dépenses;2021
24/09/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 329;529 177;Dépenses;2021
18/02/2021;Wholesale Sales;Vente - Wholesale Sales - client 7653;2 032 993;Revenu;2021
03/01/2021;Wholesale Sales;Vente - Wholesale Sales - client 5741;1 606 004;Revenu;2021
28/04/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 558;498 610;Dépenses;2021
09/10/2021;Wholesale Sales;Vente - Wholesale Sales - client 8417;5 719 142;Revenu;2021
21/09/2021;Wholesale Sales;Vente - Wholesale Sales - client 3161;5 077 712;Revenu;2021
05/04/2021;Other Operating Income;Vente - Other Operating Income - client 3370;432 669;Revenu;2021
06/07/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 952;678 495;Dépenses;2021
17/12/2021;Rent;Charge - Rent - fournisseur 966;217 298;Dépenses;2021
10/09/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 267;768 241;Dépenses;2021
16/08/2021;Other Operating Income;Vente - Other Operating Income - client 5911;333 133;Revenu;2021
24/09/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 814;500 942;Dépenses;2021
23/07/2021;Retail Sales;Vente - Retail Sales - client 6095;2 273 011;Revenu;2021
25/04/2021;Other Operating Income;Vente - Other Operating Income - client 6383;497 362;Revenu;2021
24/03/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 573;20 304;Dépenses;2021
05/04/2021;Professional fees;Charge - Professional fees - fournisseur 816;124 491;Dépenses;2021
10/02/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 930;2 315 450;Dépenses;2021
22/02/2021;Wholesale Sales;Vente - Wholesale Sales - client 7211;2 006 777;Revenu;2021
10/11/2021;Capex - Machinery/Equipment;Achat d'équipement de production;-12 825 660;Capex;2021
24/07/2021;Export Sales;Vente - Export Sales - client 1049;694 340;Revenu;2021
20/12/2021;Professional fees;Charge - Professional fees - fournisseur 407;142 511;Dépenses;2021
05/03/2021;Wholesale Sales;Vente - Wholesale Sales - client 1878;2 165 429;Revenu;2021
02/07/2021;Depreciation;Charge - Depreciation - fournisseur 884;178 425;Dépenses;2021
25/03/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 938;47 022;Dépenses;2021
09/12/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 264;14 148 108;Dépenses;2021
23/09/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 469;667 183;Dépenses;2021
28/05/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 728;3 284 400;Dépenses;2021
14/08/2021;Maintenance;Charge - Maintenance - fournisseur 423;126 846;Dépenses;2021
15/04/2021;Wholesale Sales;Vente - Wholesale Sales - client 7367;1 447 149;Revenu;2021
12/09/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 520;10 202 362;Dépenses;2021
27/07/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 439;6 147 931;Dépenses;2021
27/10/2021;Export Sales;Vente - Export Sales - client 5984;639 203;Revenu;2021
26/05/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 378;52 947;Dépenses;2021
16/05/2021;Professional fees;Charge - Professional fees - fournisseur 390;75 234;Dépenses;2021
